devon-peters-1,Flux,flux
dylan-zwozdesky,Flux,flux
nick-volsky-1,Flux,flux
andrew-delane,Flux,flux
anna-haynes,Flux,flux
isobel-macaulay,Flux,flux
emily-woffenden,Flux,flux
natalie-quek,Flux,flux
ross-macbeth,Flux,flux
chris-fanchini,Flux,flux
andrew-martin-3,Flux,flux
michael-donn,Flux,flux
richard-edwards,Flux,flux
george-wong,Flux,flux
daniel-parker,Flux,flux
andrew-ashbury,Flux,flux
amy-powles,Flux,flux
natalie-kippin,Flux,flux
viviane-bartlett,Flux,flux
paul-denyer,Flux,flux
lenny-thong,Flux,flux
adrian-trott,Flux,flux
brian-vanallen,Flux,flux
catriona-okely,Flux,flux
guarin-owen,Flux,flux
drew-wooding,Flux,flux
eric-mckenna,Phantoms,phantoms,Flux,flux
thomas-kuhn,Muriqui,vancouver-masters,Flux,flux
onalee-orchard-1,Prairie Fire,dyna,Terra,terra,Flux,flux
aaron-dobson,Torque,torque,Flood,flood,Flux,flux
amanda-ho-1,Flux,flux
marjolaine-bourget,CUFM - Vintage,vintage,Storm,storm,Vintage,vintage,Flux,flux
connie-lee,Prairie Fire,dyna,Terra,terra,NoBS,nobs,Flux,flux
jennifer-beck-2,Rogue Hippo,rogue-hippo,Prairie Blaze,wheaties,Flux,flux,Salty,salty
alexa-lavergne,CUFM - Vintage,vintage,Vintage,vintage,Flux,flux
rhiannon-kuhn,Wild,wild,Prairie Fire,dyna,Flux,flux
alana-schick,Flux,flux,Lit,lit
frederique-asselin,Vintage,vintage,Flux,flux,CUFM - Vintage,vintage,Montreal Old Star,montreal-old-star,Storm,storm
brae-anne-mcarthur,Prairie Fire,dyna,Flux,flux
mark-macinnes,Flux,flux
bobby-staniforth,Cannons: Junior Open,cannons-m,Flux,flux
gabriel-hennessey-1,Maverick,maverick,Flux,flux
robert-mcleod,Bunny Thugs,bunny-thugs,Flux,flux
pete-woods,Flux,flux
justin-wilkes,Torque,torque,Flux,flux
ray-c,Flux,flux
tyler-trapp,Flux,flux
chris-artibello,Prairie Fire,dyna,Flux,flux,Lit,lit,Alberta Flatball Club,alberta-flatball-club,NSOM,nsom
jonathan-pendlebury-1,Flux,flux
theresa-mesdag,Rogue Hippo,rogue-hippo,Flurry,flurry,Spawn,spawn,Flux,flux
ciara-wright,Flux,flux
dustin-hong,Flux,flux
jared-lehotsky,Critical Mass,critical-mass,Pretty Boys and Handsome Girls,pretty-boys-and-handsome-girls,Flux,flux
tyler-chochinov,General Strike,general-strike,Gaia Sale,gaia-sale
yacine-bara-1,General Strike,general-strike,Gaia Sale,gaia-sale,Flood,flood
lindsay-walker-1,Gaia Sale,gaia-sale,Mint,mint
megan-chopyk,Gaia Sale,gaia-sale,Mint,mint
martha-hinton,Gaia Sale,gaia-sale,Mint,mint
meredith-bara,Gaia Sale,gaia-sale,Mint,mint
melanie-stevens,Gaia Sale,gaia-sale,Mint,mint
debbie-froese,Gaia Sale,gaia-sale,Mint,mint
delaney-vun,Gaia Sale,gaia-sale,Mint,mint,Nonsuch,nonsuch
kaiya-seaman,Gaia Sale,gaia-sale,Fusion,fusion
latitia-seaman,Gaia Sale,gaia-sale,Fusion,fusion
samie-lovat,Gaia Sale,gaia-sale,Capitals,capitals,Fusion,fusion
heidi-howes,Gaia Sale,gaia-sale,Mint,mint
jordan-chochinov,General Strike,general-strike,Gaia Sale,gaia-sale
lee-crierie,Gaia Sale,gaia-sale,Torque,torque,Flood,flood
brad-davidson,General Strike,general-strike,Gaia Sale,gaia-sale,Torque,torque,Flood,flood
mark-semenek,Gaia Sale,gaia-sale,Torque,torque,Flood,flood
